unique_id,plotNo,pairNo,block,accession,crop,intercrop,crop_2,trial
2025_winter_plot_279,279,152,Block7,HORIZON201,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_280,280,153,Block7,NF01404A,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_281,281,153,Block7,NF01404A,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_282,282,154,Block7,NC21-6576,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_283,283,154,Block7,NC21-6576,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_284,284,155,Block7,DOMACA_ZOB,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_285,285,156,Block7,NF12AS-122-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_286,286,156,Block7,NF12AS-122-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_287,287,157,Block7,NF97405B2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_288,288,157,Block7,NF97405B2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_289,289,158,Block7,AURORA,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_290,290,158,Block7,AURORA,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_291,291,159,Block7,NC20-4452,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_292,292,159,Block7,NC20-4452,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_293,293,160,Block7,PI365616,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_294,294,161,Block7,CAV3088,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_295,295,162,Block8,NF13-4157-4_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_296,296,162,Block8,NF13-4157-4_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_297,297,163,Block8,LA99016,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_298,298,163,Block8,LA99016,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_299,299,164,Block8,FLLA17088-77,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_300,300,164,Block8,FLLA17088-77,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_301,301,165,Block8,LA17153SBSS-55-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_302,302,165,Block8,LA17153SBSS-55-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_303,303,166,Block8,NF12AS-122-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_304,304,166,Block8,NF12AS-122-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_305,305,167,Block8,RADNORSHIRE_SPRIG|CIAV3219,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_306,306,168,Block8,NF97405-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_307,307,168,Block8,NF97405-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_308,308,169,Block8,NC17-6440,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_309,309,169,Block8,NC17-6440,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_310,310,170,Block8,NC21-6609,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_311,311,170,Block8,NC21-6609,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_312,312,171,Block8,SA21,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_313,313,172,Block8,GERARD224,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_314,314,172,Block8,GERARD224,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_315,315,173,Block8,NF12AS-91-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_316,316,173,Block8,NF12AS-91-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_317,317,174,Block8,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_318,318,174,Block8,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_319,319,175,Block8,NC21-6497,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_320,320,175,Block8,NC21-6497,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_321,321,176,Block8,NF99401_1-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_322,322,176,Block8,NF99401_1-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_323,323,177,Block8,LA17129SBSS-8-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_324,324,177,Block8,LA17129SBSS-8-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_325,325,178,Block8,PI365615,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_326,326,179,Block8,CAV3163,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_327,327,180,Block8,NC20-4402,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_328,328,180,Block8,NC20-4402,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_329,329,181,Block8,NC20-4526,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_330,330,181,Block8,NC20-4526,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_331,331,182,Block8,NC20-4551,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_332,332,182,Block8,NC20-4551,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_333,333,183,Block8,NF13-4124-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_334,334,183,Block8,NF13-4124-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_335,335,184,Block8,AURORA,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_336,336,184,Block8,AURORA,Oat,intercrop,oat-pea,2025_winter_plot
2025_plot_seed_increase_1,1,na,1,BOUNTIFUL|PI101253,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_2,2,na,1,TRISPERNIA|CIAV7008,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_3,3,na,1,PI436098,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_4,4,na,1,SEGETAL,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_5,5,na,1,WINTER_TURF|CIAV2677,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_6,6,na,1,CW559,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_7,7,na,1,REHOVOT,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_8,8,na,1,PI320204,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_9,9,na,1,PI194894,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_10,10,na,1,WESTFINNISCHER_SCHWARZ,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_11,11,na,1,TRISPERNIA|CIAV5100,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_12,12,na,1,PI344831,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_13,13,na,1,ROTENBURGER_SCHWARZHAFER,Oat,monocrop,oat,2025_plot_seed_increase
2025_plot_seed_increase_14,14,na,1,CAV3224,Oat,monocrop,oat,2025_plot_seed_increase
